pageviews	time_on_page	stories	comments	ratings	newsletters	nationality	manipulation_level	visitor_session_id
4	218.0	0	0	0	NA	México	local	3183
4	280.0	0	0	0	NA	Perú	local	3184
1	15	0	0	0	NA	España	all	3186
9	289.0	0	1	1	NA	Perú	all	3187
1	15	0	0	0	NA	Colombia	all	3188
3	125.0	0	0	0	NA	Bolivia	local	3189
1	15	0	0	0	NA	Guatemala	local	3190
1	15	0	0	0	NA	Colombia	all	3193
1	15	0	0	0	NA	México	local	3194
1	15	0	0	0	NA	Colombia	all	3195
1	15	0	0	0	NA	México	all	3196
3	105.0	0	0	0	NA	Perú	all	3197
1	15	0	0	0	NA	Argentina	all	3198
3	201.0	0	0	0	NA	Argentina	all	3199
1	15	0	0	0	NA	República Dominicana	local	3200
49	3581.0	0	0	0	NA	Perú	all	3201
1	15	0	0	0	NA	Chile	local	3202
4	59.0	0	0	0	NA	España	all	3203
8	168.0	0	0	1	NA	Colombia	local	3204
1	15	0	0	0	NA	Colombia	local	3205
1	15	0	0	0	NA	Bolivia	all	3206
1	15	0	0	0	NA	Perú	all	3207
1	15	0	0	0	NA	Bolivia	all	3209
1	15	0	0	0	NA	Perú	local	3211
62	1838.0	2	3	6	NA	España	local	3212
1	15	0	0	0	NA	Perú	all	3213
10	683.0	0	2	3	NA	México	all	3215
2	24.0	0	0	0	NA	Argentina	local	3217
12	718.0	0	0	0	NA	Perú	local	3218
5	189.0	0	0	0	NA	México	all	3219
8	1994.0	0	2	0	NA	Guatemala	local	3220
13	571.0	0	0	2	NA	España	local	3221
6	680.0	0	1	0	NA	España	all	3222
3	331.0	0	0	0	NA	Estados Unidos	all	3223
7	141.0	0	0	0	NA	México	all	3224
1	15	0	0	0	NA	España	local	3225
2	69.0	0	0	0	NA	México	all	3226
2	54.0	0	0	0	NA	México	local	3227
1	15	0	0	0	NA	México	local	3228
4	63.0	0	0	0	NA	Perú	all	3229
1	15	0	0	0	NA	Argentina	all	3230
1	15	0	0	0	NA	Nicaragua	all	3231
24	545.0	0	0	4	NA	México	all	3233
1	15	0	0	0	NA	México	all	3234
1	15	0	0	0	NA	Argentina	local	3235
1	15	0	0	0	NA	Argentina	all	3236
2	57.0	0	0	0	NA	El Salvador	all	3237
10	838.0	0	1	0	NA	Ecuador	local	3238
11	917.0	1	0	0	NA	Estados Unidos	all	3239
2	23.0	0	0	0	NA	Colombia	all	3240
1	15	0	0	0	NA	México	local	3241
1	15	0	0	0	NA	República Dominicana	all	3242
1	15	0	0	0	NA	España	all	3243
2	102.0	0	0	1	NA	Chile	all	3244
12	567.0	0	0	0	NA	Perú	local	3245
2	19.0	0	0	0	NA	Colombia	all	3246
3	267.0	0	1	1	NA	Bolivia	local	3247
5	254.0	0	0	1	NA	Bolivia	all	3248
17	349.0	0	0	0	NA	Puerto Rico	local	3249
1	15	0	0	0	NA	Uruguay	all	3250
2	129.0	0	0	0	NA	México	local	3251
1	15	0	0	0	NA	México	all	3252
1	15	0	0	0	NA	México	local	3253
9	186.0	0	1	1	NA	España	all	3254
2	321.0	0	0	0	NA	Colombia	local	3255
1	15	0	0	0	NA	Estados Unidos	local	3258
1	15	0	0	0	NA	Estados Unidos	local	3259
1	15	0	0	0	NA	Estados Unidos	local	3260
1	15	0	0	0	NA	Colombia	all	3262
14	678.0	0	0	3	NA	México	local	3263
6	590.0	0	1	0	NA	Costa Rica	all	3265
